client_id,gender,age,average_amount,purchase_sum_3m,purchase_count_3m,days_since_first,days_since_last
c_000512,F,58.0,128.92,24814.41,40,1599,68
c_000513,M,52.0,1994.12,24012.71,37,129,145
c_000514,F,23.0,1516.9,3474.52,44,1496,165
c_000515,M,,1074.5,41220.09,31,541,1
c_000516,F,78.0,3354.06,6965.06,24,1911,2
c_000517,F,36.0,4421.58,6048.72,23,1200,48
c_000518,M,78.0,2024.27,20374.93,38,873,98
c_000519,F,58.0,4982.59,38161.1,5,867,293
c_000520,F,44.0,3216.42,5203.3,24,755,331
c_000521,M,23.0,3158.63,13819.29,15,62,23
c_000522,F,41.0,4198.46,47388.24,11,1902,30
c_000523,F,,1475.66,14804.21,37,965,219
c_000524,F,54.0,1228.43,700.9,41,988,26
c_000525,F,48.0,3323.34,23211.1,7,175,257
c_000526,M,20.0,2538.7,7535.85,25,1277,41
c_000527,F,51.0,624.72,340.17,49,656,145
c_000528,F,19.0,1983.66,40719.16,8,144,215
c_000529,M,77.0,493.37,47706.51,41,1710,110
c_000530,F,41.0,119.2,14217.41,45,402,335
c_000531,U,62.0,1051.47,28523.53,24,1570,215
c_000532,F,49.0,3203.23,11403.66,48,1404,332
c_000533,M,44.0,3083.5,46022.99,3,759,72
c_000534,M,23.0,3540.41,34696.65,11,1395,1
c_000535,F,38.0,1360.67,11026.84,47,1972,293
c_000536,F,62.0,3326.04,15831.37,2,1121,294
c_000537,M,42.0,952.47,46169.05,39,1356,286
c_000538,F,42.0,4223.07,46482.79,18,348,70
c_000539,F,53.0,1705.29,41882.39,30,1368,2
c_000540,F,19.0,4190.42,31619.18,26,494,357
c_000541,F,64.0,54.82,2892.13,24,1667,42
c_000542,F,71.0,324.97,21893.6,42,1847,28
c_000543,F,32.0,3642.66,18134.71,3,588,94
c_000544,F,60.0,1465.52,39369.43,16,1713,69
c_000545,M,64.0,2315.52,9508.0,14,274,340
c_000546,M,56.0,3234.24,41007.47,25,958,188
c_000547,M,47.0,2465.51,45341.32,37,1089,223
c_000548,M,58.0,4975.73,5435.87,9,1824,29
c_000549,M,25.0,4060.11,46660.89,25,1170,227
c_000550,M,23.0,2861.63,28795.53,37,1280,177
c_000551,M,27.0,231.26,25092.32,49,1559,60
c_000552,M,33.0,2622.76,29733.42,15,975,167
c_000553,F,,1858.61,46119.96,14,355,168
c_000554,F,51.0,2468.21,31500.76,19,844,46
c_000555,F,70.0,2702.59,49947.61,17,1382,289
c_000556,F,30.0,3252.71,812.35,45,1682,121
c_000557,M,26.0,358.7,24027.31,43,805,18
c_000558,F,66.0,2274.92,13173.86,32,309,264
c_000559,F,44.0,4258.63,46037.83,30,798,199
c_000560,M,27.0,1011.11,33326.45,27,805,130
c_000561,M,23.0,1931.13,44045.13,46,1756,290
c_000562,F,43.0,1352.65,36385.21,33,73,172
c_000563,U,43.0,2078.98,14166.38,25,167,193
c_000564,M,71.0,2708.15,2620.33,47,1144,108
c_000565,M,73.0,713.01,23215.96,21,1050,150
c_000566,M,29.0,4750.94,13709.2,7,769,169
c_000567,M,76.0,3684.1,47229.72,1,1561,200
c_000568,M,25.0,973.62,19916.77,15,194,250
c_000569,M,,2250.22,10502.02,8,294,94
c_000570,M,28.0,2174.35,7189.75,11,1247,323
c_000571,F,31.0,2587.2,8101.66,6,217,248
c_000572,M,19.0,4689.66,7308.12,40,1815,70
c_000573,F,52.0,1774.75,43995.63,47,962,180
c_000574,F,67.0,1151.54,1013.21,39,351,200
c_000575,F,59.0,1293.75,40163.25,17,1756,170
c_000576,F,24.0,3189.38,30638.39,32,725,92
c_000577,F,63.0,4540.74,1610.53,23,1404,131
c_000578,M,23.0,2951.12,24793.8,13,1425,279
c_000579,M,47.0,3434.84,24988.91,27,1930,248
c_000580,F,22.0,4635.93,49124.45,6,608,5
c_000581,F,68.0,4389.57,23789.24,47,1030,77
c_000582,M,40.0,1804.01,42493.5,45,1178,150
c_000583,M,66.0,107.45,2659.28,48,1788,54
c_000584,F,34.0,3875.61,17318.29,0,1742,77
c_000585,M,47.0,930.65,14901.85,38,1262,228
c_000586,M,58.0,2086.86,31172.79,31,1226,130
c_000587,F,26.0,2338.92,4909.82,3,521,240
c_000588,F,44.0,3762.73,7202.5,38,1428,267
c_000589,F,66.0,4742.12,12523.63,3,539,130
c_000590,M,18.0,2310.41,28960.98,37,754,107
c_000591,M,54.0,2172.26,40286.04,15,1055,11
c_000592,M,31.0,859.49,5010.07,38,333,288
c_000593,M,68.0,4879.42,9521.15,3,613,331
c_000594,F,30.0,1871.64,44828.17,13,1345,245
c_000595,F,50.0,1331.35,25089.51,20,1974,17
c_000596,F,41.0,870.8,10179.59,26,1248,113
c_000597,U,51.0,1065.29,17615.5,22,292,187
c_000598,F,42.0,2616.58,47887.24,41,115,140
c_000599,M,27.0,2009.74,16539.56,18,388,214
c_000600,F,18.0,3606.6,45533.45,48,499,14
c_000601,F,57.0,3978.92,24170.77,12,478,313
c_000602,F,42.0,1477.89,17262.33,26,936,16
c_000603,F,29.0,4909.42,14003.23,48,1598,233
c_000604,F,66.0,813.27,1678.38,13,1382,124
c_000605,M,56.0,2897.04,13492.4,37,1243,300
c_000606,M,38.0,1028.79,34411.56,33,130,317
c_000607,M,43.0,3483.85,30022.51,31,67,183
c_000608,F,36.0,1639.6,24403.64,2,416,357
c_000609,F,43.0,1154.77,42170.84,44,271,77
c_000610,F,31.0,3672.11,4194.1,1,1699,307
c_000611,F,69.0,322.97,43681.91,44,711,97
c_000612,F,58.0,2402.34,23290.12,12,1740,320
c_000613,F,38.0,2310.54,26210.94,16,270,79
c_000614,F,75.0,2145.75,11244.55,48,1404,336
c_000615,M,56.0,3335.68,41547.14,15,519,287
c_000616,M,70.0,64.79,9431.48,12,670,198
c_000617,F,70.0,3829.53,25901.33,24,236,158
c_000618,F,20.0,304.96,49991.35,48,199,131
c_000619,U,55.0,2759.87,26941.07,31,1636,308
c_000620,F,,4320.68,15424.67,5,1945,212
c_000621,M,61.0,3637.25,12116.04,48,275,74
c_000622,M,34.0,3118.35,12601.69,4,1249,113
c_000623,U,18.0,3406.7,44507.37,28,157,78
c_000624,F,44.0,2082.51,39903.62,14,1292,210
c_000625,M,24.0,789.04,34710.32,1,931,17
c_000626,M,62.0,4788.53,37779.54,16,110,231
c_000627,U,19.0,618.91,33716.19,41,830,240
c_000628,M,19.0,2754.24,299.72,16,268,66
c_000629,M,28.0,3457.27,16543.04,4,956,355
c_000630,M,75.0,1304.67,17363.57,40,1220,229
c_000631,M,44.0,3666.63,49591.13,3,956,9
c_000632,F,25.0,2941.96,30608.79,16,146,259
c_000633,M,47.0,3495.24,42640.32,26,1516,364
c_000634,F,20.0,1245.2,12122.42,8,1991,282
c_000635,F,53.0,1935.54,24042.28,48,1249,155
c_000636,M,34.0,2850.9,38140.09,25,1754,134
c_000637,F,38.0,461.01,24858.71,11,35,115
c_000638,F,45.0,3044.77,12629.71,34,408,333
c_000639,F,46.0,3926.59,26428.49,14,757,106
c_000640,F,28.0,3352.0,11645.27,22,1135,49
c_000641,M,70.0,3160.05,638.22,12,1592,1
c_000642,M,70.0,3723.31,46755.61,44,595,119
c_000643,F,67.0,3837.57,5406.33,13,133,80
c_000644,F,26.0,4208.37,41106.55,47,410,122
c_000645,F,30.0,2712.01,953.96,30,1783,346
c_000646,F,21.0,4145.5,35018.67,17,772,294
c_000647,F,30.0,3361.69,46387.81,32,1476,81
c_000648,F,27.0,971.4,24818.88,41,210,61
c_000649,M,41.0,3262.39,37577.91,47,1011,173
c_000650,F,,3289.99,40970.17,23,454,237
c_000651,U,53.0,4642.18,13986.59,28,212,67
c_000652,F,20.0,425.36,46514.09,23,1962,24
c_000653,F,50.0,732.7,38609.77,37,1559,81
c_000654,F,71.0,4310.02,1858.91,31,304,105
c_000655,F,26.0,4528.66,18024.29,22,929,36
c_000656,U,74.0,3371.04,28305.52,14,517,281
c_000657,F,32.0,814.74,11071.71,33,1334,161
c_000658,M,61.0,4844.13,3425.75,41,1580,108
c_000659,F,31.0,3216.05,33018.14,44,680,346
c_000660,M,34.0,2896.06,42606.3,10,1182,192
c_000661,F,42.0,4779.21,19166.47,18,790,19
c_000662,M,31.0,3173.85,7743.15,40,1783,132
c_000663,M,22.0,4339.55,8282.63,33,1542,32
c_000664,F,54.0,2818.78,27014.75,20,1014,80
c_000665,F,39.0,289.77,46711.55,44,964,71
c_000666,F,41.0,282.66,20212.71,7,1560,199
c_000667,F,79.0,510.5,28023.62,3,685,151
c_000668,M,55.0,3750.36,20179.66,17,656,271
c_000669,F,48.0,615.1,23758.33,13,1838,270
c_000670,U,63.0,1926.85,43485.27,47,1971,129
c_000671,F,71.0,2605.01,26778.66,33,304,276
c_000672,F,49.0,2963.29,12266.69,16,1866,155
c_000673,M,50.0,4097.55,36918.49,36,1523,230
c_000674,F,30.0,201.89,22788.79,20,898,313
c_000675,M,22.0,264.88,31861.03,47,1768,284
c_000676,F,42.0,4955.1,731.06,9,1196,178
c_000677,M,68.0,4788.9,25943.81,40,1087,318
c_000678,F,52.0,4575.27,37527.77,25,345,219
c_000679,F,22.0,1666.43,46294.36,11,1318,58
c_000680,M,37.0,4892.49,7737.47,28,942,166
c_000681,M,40.0,4050.83,20608.72,44,812,228
c_000682,M,57.0,2411.06,34787.17,10,770,305
c_000683,F,44.0,2864.18,47581.27,7,32,320
c_000684,F,79.0,4090.59,14420.23,14,354,209
c_000685,F,62.0,2478.3,34279.37,1,1206,18
c_000686,M,55.0,1610.79,21475.29,7,1763,188
c_000687,U,60.0,3343.54,44566.63,30,1866,48
c_000688,M,24.0,4553.94,48131.98,1,1130,313
c_000689,M,70.0,909.97,18875.97,14,620,279
c_000690,M,46.0,3633.48,684.78,11,1541,72
c_000691,F,41.0,852.07,44131.33,32,611,301
c_000692,M,18.0,4992.85,2011.37,26,804,332
c_000693,F,,4864.14,40978.47,10,1697,294
c_000694,F,79.0,3547.57,19324.66,48,1265,54
c_000695,M,75.0,851.11,790.79,31,1811,352
c_000696,M,40.0,2536.84,33422.44,14,1958,7
c_000697,M,53.0,1196.94,38220.53,46,988,184
c_000698,M,30.0,1665.33,35283.69,47,46,11
c_000699,M,20.0,1440.33,38443.21,15,1395,120
c_000700,F,66.0,4585.66,45855.84,7,1844,350
c_000701,F,52.0,4925.84,47784.82,40,304,316
c_000702,F,75.0,3872.09,40422.05,49,644,306
c_000703,F,58.0,2468.47,31930.09,6,1375,77
c_000704,M,31.0,2226.95,15591.83,18,1732,260
c_000705,M,76.0,4932.3,27970.75,17,1850,181
c_000706,F,52.0,3666.06,35442.06,10,339,321
c_000707,U,64.0,1888.83,31102.62,24,1939,338
c_000708,M,46.0,436.75,11973.25,22,1114,277
c_000709,M,55.0,1855.42,38884.46,22,1259,131
c_000710,M,18.0,3410.36,20627.14,14,624,255
c_000711,F,32.0,3843.99,28376.52,46,337,211
c_000712,M,66.0,649.79,42153.82,49,1525,228
c_000713,M,34.0,226.8,351.76,15,1020,175
c_000714,F,27.0,1297.96,34767.5,24,334,363
c_000715,M,24.0,3384.81,1835.11,11,298,105
c_000716,F,27.0,1786.67,25540.83,42,1712,182
c_000717,F,69.0,2626.03,48712.5,35,1861,108
c_000718,M,41.0,4542.03,6297.31,5,541,204
c_000719,M,42.0,2898.41,4633.97,22,359,286
c_000720,F,67.0,333.04,44618.75,43,921,157
c_000721,F,26.0,545.24,46174.13,18,374,239
c_000722,F,65.0,2476.56,33499.6,15,34,168
c_000723,F,73.0,2720.31,398.52,43,1939,219
c_000724,F,46.0,150.84,24064.14,20,1764,40
c_000725,M,19.0,203.42,21643.51,33,446,133
c_000726,F,56.0,1278.86,37661.33,29,1141,318
c_000727,M,48.0,705.33,1164.76,9,1801,179
c_000728,F,56.0,4806.29,5229.47,46,155,6
c_000729,M,30.0,3610.96,44358.26,16,1251,253
c_000730,F,40.0,2331.05,6393.59,9,519,45
c_000731,F,46.0,448.86,26714.31,2,223,118
c_000732,U,78.0,4228.84,29834.74,36,1744,326
c_000733,F,29.0,3816.2,1171.53,18,974,158
c_000734,F,31.0,1156.93,24496.14,47,1141,249
c_000735,M,20.0,1240.53,5544.54,44,1247,50
c_000736,F,27.0,2350.99,1703.84,47,1242,116
c_000737,M,74.0,2198.26,15251.4,29,1246,325
c_000738,M,53.0,1117.82,8071.86,44,69,304
c_000739,M,35.0,3362.56,32725.95,45,1893,115
c_000740,F,41.0,1702.1,27416.3,3,580,296
c_000741,F,68.0,1405.88,30055.77,13,1317,316
c_000742,U,25.0,3964.92,3802.91,44,91,215
c_000743,M,,308.15,44681.27,16,141,215
c_000744,F,36.0,4008.0,39697.48,40,1883,242
c_000745,M,41.0,2429.14,20558.68,18,1033,322
c_000746,M,51.0,2315.13,10974.57,10,706,183
c_000747,F,59.0,1013.96,47715.69,23,556,166
c_000748,M,26.0,927.88,22230.04,47,31,264
c_000749,F,31.0,737.05,41267.24,22,1393,48
c_000750,F,33.0,3199.94,2374.72,47,605,74
c_000751,F,31.0,3169.77,21616.89,24,1104,110
c_000752,F,29.0,4069.64,40568.06,21,975,256
c_000753,F,38.0,3846.42,19492.48,41,1879,50
c_000754,M,60.0,3244.37,42274.85,19,506,359
c_000755,F,49.0,2365.49,13685.27,44,124,166
c_000756,F,64.0,3788.17,22895.36,37,1404,342
c_000757,F,45.0,4815.66,23471.5,26,1246,170
c_000758,M,22.0,603.86,44548.45,49,1424,289
c_000759,M,73.0,4999.03,41564.33,46,647,234
c_000760,M,29.0,2304.26,37444.95,5,1726,81
c_000761,F,64.0,2516.12,29463.21,13,624,113
c_000762,F,41.0,631.43,21105.8,31,991,141
c_000763,M,68.0,3078.02,14594.04,39,749,44
c_000764,M,71.0,538.11,12817.14,3,1117,78
c_000765,F,19.0,3729.36,32787.74,36,1793,295
c_000766,M,63.0,3610.28,34827.28,47,1931,261
c_000767,M,62.0,2522.17,857.31,30,374,198
c_000768,M,45.0,1556.81,12963.12,19,642,115
c_000769,F,38.0,64.67,23205.22,39,234,49
c_000770,M,55.0,490.95,7556.23,21,553,235
c_000771,F,18.0,2101.48,7373.7,32,914,121
c_000772,F,25.0,4596.07,3054.4,11,1230,188
c_000773,F,46.0,1326.27,38910.95,14,791,21
c_000774,F,62.0,3227.41,3732.07,25,1673,169
c_000775,F,44.0,2839.44,15897.61,37,1049,193
c_000776,F,57.0,2286.03,5224.85,12,229,192
c_000777,F,31.0,404.52,11840.37,36,1065,341
c_000778,F,50.0,187.5,32980.78,5,1931,340
c_000779,M,36.0,2616.56,5761.69,5,472,8
c_000780,M,69.0,3816.12,17178.47,46,510,242
c_000781,F,36.0,1246.89,42632.73,16,1930,264
c_000782,U,43.0,4890.28,32437.53,39,1074,105
c_000783,F,27.0,2338.66,33429.42,46,463,360
c_000784,F,53.0,4345.29,18157.22,25,829,208
c_000785,M,47.0,4464.26,26452.24,20,173,62
c_000786,F,,3713.74,30541.34,47,848,104
c_000787,M,69.0,3391.66,13144.34,30,1507,241
c_000788,F,24.0,2847.31,29550.4,0,1597,78
c_000789,F,22.0,3544.2,26075.59,3,527,282
c_000790,U,55.0,4660.35,35341.53,49,385,188
c_000791,M,,1032.01,27825.57,20,451,316
c_000792,M,54.0,1759.97,8507.99,3,761,179
c_000793,F,39.0,1917.39,30112.61,35,1383,353
c_000794,M,30.0,3008.94,19962.27,6,373,119
c_000795,F,66.0,1288.49,15616.77,33,519,222
c_000796,F,33.0,3837.78,27878.04,14,1325,116
c_000797,M,64.0,3311.15,3152.98,2,1222,326
c_000798,M,63.0,3962.31,4063.42,41,794,241
c_000799,F,74.0,3316.73,33553.26,12,1182,110
c_000800,F,75.0,496.49,47051.41,28,488,80
c_000801,F,79.0,844.45,22687.61,48,42,34
c_000802,M,49.0,3944.57,38972.82,1,1200,287
c_000803,M,26.0,1934.67,5114.87,33,1962,92
c_000804,M,74.0,888.22,5378.02,39,359,271
c_000805,M,21.0,1654.9,26907.21,1,1537,78
c_000806,F,72.0,181.89,16912.84,2,1646,226
c_000807,M,60.0,1880.23,351.0,10,1540,348
c_000808,F,66.0,862.23,21473.0,11,1344,304
c_000809,M,35.0,1827.36,27222.41,49,1466,80
c_000810,M,71.0,2436.63,24525.04,16,184,154
c_000811,F,24.0,1338.44,37089.44,43,1815,341
c_000812,M,,1844.65,41117.74,41,676,339
c_000813,M,42.0,1947.45,7884.4,12,445,119
c_000814,M,77.0,2251.72,33954.53,22,1652,119
c_000815,F,60.0,2024.47,12366.47,40,75,315
c_000816,F,27.0,4718.5,24818.31,17,355,18
c_000817,M,33.0,408.9,21917.77,14,399,245
c_000818,M,18.0,3514.24,18603.29,44,256,79
c_000819,F,70.0,248.75,7254.07,22,185,62
c_000820,M,51.0,348.67,14607.61,21,1126,42
c_000821,M,21.0,3153.69,26338.68,37,1588,275
c_000822,M,48.0,3567.72,40346.14,28,210,34
c_000823,U,40.0,2832.96,7118.01,15,815,257
c_000824,M,55.0,1750.89,3619.61,1,1491,141
c_000825,M,30.0,2711.11,31694.6,14,1144,276
c_000826,M,35.0,4233.62,2602.16,2,346,150
c_000827,F,45.0,2961.9,31654.49,18,256,185
c_000828,F,27.0,2394.73,4783.57,0,1196,176
c_000829,F,41.0,4812.64,30207.72,47,1941,75
c_000830,F,72.0,202.22,3874.3,13,1790,53
c_000831,M,24.0,3033.67,45279.36,9,1906,184
c_000832,M,46.0,88.61,11492.75,42,1160,297
c_000833,M,33.0,2288.66,37437.06,24,1051,52
c_000834,F,18.0,4409.62,9820.19,41,1446,233
c_000835,F,,923.04,37321.74,19,308,286
c_000836,M,62.0,2915.16,48720.46,30,1776,82
c_000837,M,49.0,2836.54,47334.65,5,1769,297
c_000838,F,31.0,4058.44,31724.29,10,662,193
c_000839,F,27.0,2939.11,40735.81,26,1693,220
c_000840,M,59.0,3003.02,2334.02,1,1362,288
c_000841,F,77.0,4757.31,9644.25,16,753,21
c_000842,U,55.0,4800.95,43875.46,41,1423,91
c_000843,F,68.0,4278.21,4361.15,40,1286,2
c_000844,F,21.0,1290.96,29083.22,48,1508,70
c_000845,M,25.0,296.53,7746.38,16,1254,83
c_000846,F,18.0,456.0,98.15,6,42,235
c_000847,M,42.0,1078.1,14206.78,11,1935,69
c_000848,M,21.0,1743.66,38120.75,30,262,342
c_000849,F,22.0,4341.93,45743.62,18,259,82
c_000850,F,45.0,3262.36,13135.94,20,251,270
c_000851,M,41.0,4574.19,42561.31,26,1045,130
c_000852,M,25.0,3972.33,9611.93,17,728,20
c_000853,F,40.0,443.02,38717.9,45,58,130
c_000854,M,67.0,1680.61,38488.31,41,443,340
c_000855,F,64.0,3875.4,10259.86,33,855,344
c_000856,F,64.0,3185.82,25109.06,33,136,361
c_000857,M,33.0,4798.88,41820.93,20,1624,339
c_000858,F,71.0,2905.17,33628.68,7,984,344
c_000859,M,49.0,4647.95,45708.09,41,1227,191
c_000860,M,30.0,2359.34,43706.86,3,942,267
c_000861,F,62.0,4699.15,27740.43,9,304,281
c_000862,F,50.0,1347.64,44417.74,5,584,78
c_000863,F,68.0,1258.25,38234.46,16,1120,241
c_000864,M,18.0,321.81,24287.96,31,635,50
c_000865,M,67.0,3872.82,43769.75,11,269,4
c_000866,M,46.0,2556.95,40364.68,17,1726,328
c_000867,M,54.0,3231.99,12319.22,41,46,95
c_000868,M,60.0,148.59,4497.97,48,1806,284
c_000869,M,25.0,2864.57,38021.92,14,613,49
c_000870,M,,2481.9,49776.99,6,76,322
c_000871,F,64.0,4212.71,32742.41,22,1958,47
c_000872,F,48.0,1876.34,26902.85,1,680,86
c_000873,F,,4495.8,9619.54,39,1347,224
c_000874,M,38.0,3912.43,16096.26,7,665,141
c_000875,F,45.0,3892.71,10735.63,39,1205,112
c_000876,F,24.0,3814.29,9521.85,9,227,221
c_000877,F,71.0,74.28,20767.56,18,1057,173
c_000878,F,21.0,1096.84,39960.14,22,1585,154
c_000879,F,19.0,1036.52,41404.12,16,1668,116
c_000880,F,28.0,1141.49,16441.98,8,1824,27
c_000881,M,70.0,1792.84,38658.84,9,1069,209
c_000882,M,37.0,1324.18,48614.37,15,581,20
c_000883,M,58.0,3221.69,48568.28,48,1055,73
c_000884,M,64.0,846.54,16104.25,0,1705,187
c_000885,F,27.0,2312.36,8535.09,13,1391,328
c_000886,M,25.0,2095.85,36795.59,8,176,205
c_000887,F,20.0,867.53,43555.22,37,478,228
c_000888,F,38.0,544.54,12963.64,20,40,38
c_000889,M,47.0,1261.34,42955.54,7,586,281
c_000890,F,47.0,85.55,46553.88,18,1669,127
c_000891,M,44.0,534.32,47762.91,39,1401,109
c_000892,M,43.0,1430.52,28524.38,29,1960,257
c_000893,M,22.0,2255.54,15703.05,31,1279,151
c_000894,F,61.0,3490.32,10155.03,49,1465,40
c_000895,M,48.0,3503.1,44672.89,25,383,156
c_000896,F,40.0,2217.86,42128.31,45,127,170
c_000897,F,18.0,1011.67,22678.96,4,1001,50
c_000898,F,,351.15,8319.79,34,833,300
c_000899,M,51.0,250.8,16552.27,40,519,76
c_000900,M,71.0,4277.59,23297.56,27,1270,224
c_000901,F,68.0,244.24,15253.83,24,391,309
c_000902,M,23.0,2142.77,30096.12,26,1249,228
c_000903,F,34.0,1261.66,30054.44,38,1087,226
c_000904,M,50.0,2683.07,7185.0,9,1184,181
c_000905,M,61.0,2817.58,5814.39,4,124,21
c_000906,M,67.0,3627.86,45297.07,45,1422,125
c_000907,M,52.0,2459.72,45390.31,0,639,158
c_000908,M,52.0,1121.01,22531.1,11,1549,308
c_000909,F,52.0,2082.91,27031.1,33,1574,339
c_000910,F,50.0,3723.27,21146.76,30,1281,36
c_000911,F,77.0,553.84,1398.62,1,1243,251
c_000912,F,61.0,1192.54,9660.4,8,316,106
c_000913,F,62.0,3908.82,47076.3,32,504,271
c_000914,M,19.0,4678.18,41706.69,27,1818,56
c_000915,M,30.0,975.01,15375.55,46,332,18
c_000916,M,54.0,363.54,6771.72,3,1467,58
c_000917,M,69.0,4875.22,5332.97,47,714,185
c_000918,F,67.0,772.51,1816.83,39,1893,232
c_000919,F,32.0,2439.97,12637.29,8,786,227
c_000920,F,54.0,2361.13,16392.25,31,1936,240
c_000921,M,46.0,3277.3,47903.51,13,1236,193
c_000922,M,18.0,1534.13,30219.04,40,1267,25
c_000923,F,66.0,3866.22,47873.35,9,1127,317
c_000924,F,35.0,273.58,3479.04,16,657,12
c_000925,F,22.0,1778.8,10641.88,17,614,172
c_000926,F,27.0,2141.64,941.25,44,354,152
c_000927,M,55.0,4304.84,3062.76,17,174,247
c_000928,F,58.0,3034.46,33785.07,31,1054,23
c_000929,M,51.0,1160.96,6195.78,42,503,163
c_000930,F,68.0,4071.05,36851.25,39,317,255
c_000931,F,31.0,3631.33,42171.41,6,1261,64
c_000932,M,76.0,1194.66,10812.63,9,1126,46
c_000933,M,51.0,1327.87,18620.24,34,1588,56
c_000934,F,42.0,2631.69,42461.92,30,884,255
c_000935,M,40.0,2998.84,43723.7,36,1162,325
c_000936,F,70.0,4567.4,43652.46,21,265,8
c_000937,F,67.0,4291.46,39533.42,14,1239,144
c_000938,M,27.0,3683.29,9367.65,3,286,116
c_000939,M,18.0,798.9,2165.02,21,725,349
c_000940,F,66.0,888.08,35177.23,29,538,364
c_000941,F,45.0,2135.0,28295.56,7,387,192
c_000942,M,63.0,697.94,33423.04,0,1648,230
c_000943,F,73.0,759.74,42536.96,15,1885,168
c_000944,M,45.0,3793.01,13637.69,31,1077,61
c_000945,M,44.0,3068.63,7898.38,2,588,69
c_000946,F,35.0,2559.12,33873.21,3,830,307
c_000947,M,62.0,2919.51,37390.48,26,63,220
c_000948,M,24.0,851.91,7779.96,18,1528,337
c_000949,M,34.0,4864.91,29796.66,45,1176,354
c_000950,F,58.0,1058.23,30030.89,2,1167,205
c_000951,M,52.0,1610.71,30100.85,39,1950,175
c_000952,M,51.0,4148.22,10492.45,31,1835,341
c_000953,M,45.0,1177.49,16059.57,30,558,231
c_000954,F,71.0,2105.7,11369.67,20,1828,13
c_000955,M,52.0,2471.8,29521.45,16,629,107
c_000956,F,70.0,2773.49,5925.72,41,1119,160
c_000957,F,23.0,89.9,43526.86,14,1593,145
c_000958,M,48.0,2504.4,39213.37,7,1178,228
c_000959,M,78.0,2576.5,46829.87,1,952,246
c_000960,M,51.0,3410.27,19294.63,10,275,255
c_000961,M,57.0,3260.47,37720.48,0,1566,320
c_000962,M,22.0,3112.21,12139.05,29,1573,169
c_000963,M,68.0,4364.38,44452.35,14,1201,262
c_000964,F,37.0,3205.25,43314.63,49,1327,153
c_000965,F,24.0,4452.06,2239.09,47,217,34
c_000966,M,46.0,3008.94,20269.34,25,831,314
c_000967,M,45.0,2084.31,4571.23,44,792,261
c_000968,F,73.0,4301.46,10942.95,3,1526,75
c_000969,F,67.0,3830.72,43725.61,23,936,267
c_000970,F,18.0,1567.95,43902.84,32,1415,255
c_000971,F,63.0,4192.5,22962.37,32,869,258
c_000972,F,61.0,1644.7,6594.15,41,90,56
c_000973,M,59.0,86.4,34988.62,41,1118,312
c_000974,F,,3085.89,34816.67,11,765,345
c_000975,F,32.0,3769.73,19476.9,14,1234,69
c_000976,F,76.0,789.59,41954.76,2,314,19
c_000977,F,30.0,1830.35,32125.1,33,790,116
c_000978,M,37.0,2349.48,1594.02,7,1205,328
c_000979,F,55.0,2285.68,44027.93,37,1799,172
c_000980,F,79.0,1114.02,17598.29,10,523,174
c_000981,F,37.0,2947.82,36676.41,34,307,259
c_000982,M,58.0,4506.59,48577.31,9,98,304
c_000983,F,54.0,3275.73,12012.4,28,1630,184
c_000984,M,18.0,1567.8,11980.95,38,541,267
c_000985,F,41.0,749.08,23189.79,46,61,157
c_000986,F,22.0,563.42,47034.51,7,1151,142
c_000987,F,64.0,3627.65,11225.53,5,154,347
c_000988,M,69.0,4238.11,7073.63,12,160,111
c_000989,F,27.0,1864.78,27820.24,15,1594,277
c_000990,F,34.0,4615.47,26762.18,32,1275,351
c_000991,F,28.0,4759.7,33249.49,17,895,11
c_000992,F,72.0,822.28,37783.77,16,471,333
c_000993,M,54.0,3905.51,19422.3,37,659,340
c_000994,M,77.0,3040.82,11735.89,6,1924,145
c_000995,F,50.0,3254.54,31196.52,28,1506,6
c_000996,F,78.0,4036.49,32476.67,40,1821,239
c_000997,F,48.0,4940.08,43708.11,38,330,180
c_000998,F,72.0,3706.27,39457.31,26,261,22
c_000999,M,21.0,3526.75,18039.42,18,491,269
c_001000,F,22.0,4834.56,13572.42,16,1395,303
c_001001,M,77.0,353.68,36854.54,9,1376,338
c_001002,F,44.0,269.61,20627.32,6,757,69
c_001003,F,31.0,2864.22,9815.38,41,1269,63
c_001004,F,46.0,2143.79,16738.11,42,1914,77
c_001005,M,,2215.05,37793.32,2,1777,164
c_001006,F,73.0,4825.67,41934.98,16,1787,47
c_001007,M,24.0,1408.8,6207.31,26,1302,196
c_001008,M,63.0,2398.77,46434.43,35,412,302
c_001009,U,75.0,1024.3,10733.68,15,886,6
c_001010,F,55.0,578.95,46575.94,30,1192,15
c_001011,M,32.0,4865.04,43256.12,23,1062,232
c_001012,F,36.0,458.26,24503.92,43,657,298
c_001013,F,51.0,1357.21,19966.92,1,1327,290
c_001014,M,46.0,333.47,6216.41,2,441,193
c_001015,F,35.0,3718.06,9797.76,22,137,328
c_001016,F,58.0,2668.68,10100.54,24,306,65
c_001017,F,46.0,197.12,5180.51,31,1288,101
c_001018,F,68.0,1383.7,17124.4,23,1656,293
c_001019,M,37.0,887.75,25823.45,5,554,235
c_001020,M,23.0,2757.13,26961.4,19,1550,94
c_001021,F,58.0,1995.5,49944.88,5,1493,227
c_001022,M,25.0,588.06,44402.1,48,659,178
c_001023,M,62.0,4528.85,20002.0,0,1918,178
c_001024,M,55.0,3863.93,31690.98,30,1833,23
